source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:1902600,proton transmembrane transport,2.449840995552535e-05,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",190,3,3,21026,1.0,0.015789473684210527,query_1,"['GO:0098655', 'GO:0098662']"
GO:BP,GO:0006119,oxidative phosphorylation,2.449840995552535e-05,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",146,3,3,21026,1.0,0.02054794520547945,query_1,['GO:0009060']
GO:BP,GO:0009060,aerobic respiration,2.449840995552535e-05,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",199,3,3,21026,1.0,0.01507537688442211,query_1,['GO:0045333']
GO:BP,GO:0045333,cellular respiration,3.3132813709204815e-05,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",242,3,3,21026,1.0,0.012396694214876033,query_1,['GO:0015980']
GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,7.708614242400755e-05,True,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",345,3,3,21026,1.0,0.008695652173913044,query_1,['GO:0006091']
GO:BP,GO:0006091,generation of precursor metabolites and energy,0.00017126816226907578,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",478,3,3,21026,1.0,0.006276150627615063,query_1,['GO:0008152']
GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,0.0003764747872837182,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",67,3,2,21026,0.6666666666666666,0.029850746268656716,query_1,"['GO:0006119', 'GO:0015986']"
GO:BP,GO:0098660,inorganic ion transmembrane transport,0.00043971611415986715,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",944,3,3,21026,1.0,0.0031779661016949155,query_1,['GO:0055085']
GO:BP,GO:0098655,monoatomic cation transmembrane transport,0.00043971611415986715,True,"""The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",877,3,3,21026,1.0,0.0034207525655644243,query_1,"['GO:0006812', 'GO:0034220']"
GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,0.00043971611415986715,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",99,3,2,21026,0.6666666666666666,0.020202020202020204,query_1,['GO:0042773']
GO:BP,GO:0022904,respiratory electron transport chain,0.00043971611415986715,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0716720094]",115,3,2,21026,0.6666666666666666,0.017391304347826087,query_1,"['GO:0022900', 'GO:0045333']"
GO:BP,GO:0019646,aerobic electron transport chain,0.00043971611415986715,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient."" [GOC:ai, GOC:mtg_electron_transport]",91,3,2,21026,0.6666666666666666,0.02197802197802198,query_1,"['GO:0006119', 'GO:0009060', 'GO:0022904']"
GO:BP,GO:0015986,proton motive force-driven ATP synthesis,0.00043971611415986715,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",78,3,2,21026,0.6666666666666666,0.02564102564102564,query_1,['GO:0006754']
GO:BP,GO:0098662,inorganic cation transmembrane transport,0.00043971611415986715,True,"""A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]",854,3,3,21026,1.0,0.00351288056206089,query_1,['GO:0098660']
GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.00043971611415986715,True,"""The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",113,3,2,21026,0.6666666666666666,0.017699115044247787,query_1,"['GO:0009145', 'GO:0009201', 'GO:0009205']"
GO:BP,GO:0042773,ATP synthesis coupled electron transport,0.00043971611415986715,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."" [ISBN:0716731363]",99,3,2,21026,0.6666666666666666,0.020202020202020204,query_1,"['GO:0006119', 'GO:0022904']"
GO:BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,0.00043971611415986715,True,"""The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",114,3,2,21026,0.6666666666666666,0.017543859649122806,query_1,"['GO:0009142', 'GO:0009144']"
GO:BP,GO:0006754,ATP biosynthetic process,0.00043971611415986715,True,"""The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators, ISBN:0198506732]",102,3,2,21026,0.6666666666666666,0.0196078431372549,query_1,"['GO:0009152', 'GO:0009206', 'GO:0046034']"
GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,0.00043971611415986715,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",119,3,2,21026,0.6666666666666666,0.01680672268907563,query_1,"['GO:0009142', 'GO:0009199']"
GO:BP,GO:0022900,electron transport chain,0.00045325373289776914,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",126,3,2,21026,0.6666666666666666,0.015873015873015872,query_1,['GO:0006091']
GO:BP,GO:0009142,nucleoside triphosphate biosynthetic process,0.00045325373289776914,True,"""The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",127,3,2,21026,0.6666666666666666,0.015748031496062992,query_1,"['GO:0009141', 'GO:1901293']"
GO:BP,GO:0034220,monoatomic ion transmembrane transport,0.0004939598246193724,True,"""A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:mah]",1048,3,3,21026,1.0,0.0028625954198473282,query_1,"['GO:0006811', 'GO:0055085']"
GO:BP,GO:0006812,monoatomic cation transport,0.0005014876024197968,True,"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]",1069,3,3,21026,1.0,0.002806361085126286,query_1,['GO:0006811']
GO:BP,GO:0009152,purine ribonucleotide biosynthetic process,0.0006377503271734648,True,"""The chemical reactions and pathways resulting in the formation of a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",161,3,2,21026,0.6666666666666666,0.012422360248447204,query_1,"['GO:0006164', 'GO:0009150', 'GO:0009260']"
GO:BP,GO:0009260,ribonucleotide biosynthetic process,0.0007316765119916061,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",176,3,2,21026,0.6666666666666666,0.011363636363636364,query_1,"['GO:0009165', 'GO:0009259', 'GO:0046390']"
GO:BP,GO:0006811,monoatomic ion transport,0.0007371536497655301,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1282,3,3,21026,1.0,0.00234009360374415,query_1,['GO:0006810']
GO:BP,GO:0046390,ribose phosphate biosynthetic process,0.0007371536497655301,True,"""The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."" [GOC:ai]",183,3,2,21026,0.6666666666666666,0.01092896174863388,query_1,"['GO:0019693', 'GO:0090407', 'GO:1901137']"
GO:BP,GO:0006164,purine nucleotide biosynthetic process,0.0007855492818608,True,"""The chemical reactions and pathways resulting in the formation of a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",193,3,2,21026,0.6666666666666666,0.010362694300518135,query_1,"['GO:0006163', 'GO:0009165', 'GO:0072522']"
GO:BP,GO:0009165,nucleotide biosynthetic process,0.0010318651064773528,True,"""The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."" [GOC:go_curators]",229,3,2,21026,0.6666666666666666,0.008733624454148471,query_1,"['GO:0009117', 'GO:1901293']"
GO:BP,GO:0046034,ATP metabolic process,0.0010318651064773528,True,"""The chemical reactions and pathways involving ATP, adenosine triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators]",229,3,2,21026,0.6666666666666666,0.008733624454148471,query_1,"['GO:0009150', 'GO:0009205']"
GO:BP,GO:0009199,ribonucleoside triphosphate metabolic process,0.0011395901804956848,True,"""The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",260,3,2,21026,0.6666666666666666,0.007692307692307693,query_1,['GO:0009141']
GO:BP,GO:0009144,purine nucleoside triphosphate metabolic process,0.0011395901804956848,True,"""The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",260,3,2,21026,0.6666666666666666,0.007692307692307693,query_1,['GO:0009141']
GO:BP,GO:0055085,transmembrane transport,0.0011395901804956848,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",1578,3,3,21026,1.0,0.0019011406844106464,query_1,"['GO:0006810', 'GO:0009987']"
GO:BP,GO:0072522,purine-containing compound biosynthetic process,0.0011395901804956848,True,"""The chemical reactions and pathways resulting in the formation of a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",257,3,2,21026,0.6666666666666666,0.007782101167315175,query_1,"['GO:0009058', 'GO:0072521']"
GO:BP,GO:0009205,purine ribonucleoside triphosphate metabolic process,0.0011395901804956848,True,"""The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",253,3,2,21026,0.6666666666666666,0.007905138339920948,query_1,"['GO:0009144', 'GO:0009199']"
GO:BP,GO:0009141,nucleoside triphosphate metabolic process,0.0012481324924595904,True,"""The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",276,3,2,21026,0.6666666666666666,0.007246376811594203,query_1,['GO:0006753']
GO:BP,GO:1901293,nucleoside phosphate biosynthetic process,0.0015705995012796443,True,"""The chemical reactions and pathways resulting in the formation of a nucleoside phosphate."" [GOC:TermGenie]",314,3,2,21026,0.6666666666666666,0.006369426751592357,query_1,"['GO:0006753', 'GO:0034654', 'GO:0090407']"
GO:BP,GO:0070482,response to oxygen levels,0.0018341915536037286,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]",344,3,2,21026,0.6666666666666666,0.005813953488372093,query_1,['GO:0009628']
GO:BP,GO:0009150,purine ribonucleotide metabolic process,0.0018603249446288142,True,"""The chemical reactions and pathways involving a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",351,3,2,21026,0.6666666666666666,0.005698005698005698,query_1,"['GO:0006163', 'GO:0009259']"
GO:BP,GO:0009259,ribonucleotide metabolic process,0.002036303838341354,True,"""The chemical reactions and pathways involving a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",372,3,2,21026,0.6666666666666666,0.005376344086021506,query_1,"['GO:0009117', 'GO:0019693']"
GO:BP,GO:0019693,ribose phosphate metabolic process,0.002072588949261961,True,"""The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar."" [GOC:ai]",380,3,2,21026,0.6666666666666666,0.005263157894736842,query_1,"['GO:0006796', 'GO:0019637', 'GO:1901135']"
GO:BP,GO:0006163,purine nucleotide metabolic process,0.0025873382146721895,True,"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",430,3,2,21026,0.6666666666666666,0.004651162790697674,query_1,"['GO:0009117', 'GO:0072521']"
GO:BP,GO:0009117,nucleotide metabolic process,0.0033161936704225892,True,"""The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."" [GOC:ma]",493,3,2,21026,0.6666666666666666,0.004056795131845842,query_1,['GO:0006753']
GO:BP,GO:0072521,purine-containing compound metabolic process,0.004218013878571118,True,"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",563,3,2,21026,0.6666666666666666,0.003552397868561279,query_1,['GO:0008152']
GO:BP,GO:1901137,carbohydrate derivative biosynthetic process,0.0045867992451049085,True,"""The chemical reactions and pathways resulting in the formation of carbohydrate derivative."" [GOC:TermGenie]",594,3,2,21026,0.6666666666666666,0.003367003367003367,query_1,"['GO:0009058', 'GO:1901135']"
GO:BP,GO:0090407,organophosphate biosynthetic process,0.004869130193266959,True,"""The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."" [GOC:chem_mtg]",619,3,2,21026,0.6666666666666666,0.0032310177705977385,query_1,"['GO:0009058', 'GO:0019637']"
GO:BP,GO:0006753,nucleoside phosphate metabolic process,0.00518614979043853,True,"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]",646,3,2,21026,0.6666666666666666,0.0030959752321981426,query_1,"['GO:0006796', 'GO:0019637', 'GO:0055086']"
GO:BP,GO:0033194,response to hydroperoxide,0.005226891605605596,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydroperoxide stimulus. Hydroperoxides are monosubstitution products of hydrogen peroxide, HOOH."" [GOC:mah]",20,3,1,21026,0.3333333333333333,0.05,query_1,"['GO:0006979', 'GO:1901700']"
GO:BP,GO:0055093,response to hyperoxia,0.005286707341316562,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating increased oxygen tension."" [GOC:kmv]",21,3,1,21026,0.3333333333333333,0.047619047619047616,query_1,"['GO:0006950', 'GO:0036296']"
GO:BP,GO:0055086,nucleobase-containing small molecule metabolic process,0.005286707341316562,True,"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]",673,3,2,21026,0.6666666666666666,0.0029717682020802376,query_1,"['GO:0006139', 'GO:0044281']"
GO:BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",0.005410855230199506,True,"""The transfer of electrons from cytochrome c to oxygen that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex IV."" [ISBN:0716731363]",22,3,1,21026,0.3333333333333333,0.045454545454545456,query_1,"['GO:0019646', 'GO:0042775']"
GO:BP,GO:0036296,response to increased oxygen levels,0.006752181560908228,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting an increase in the level of oxygen."" [GOC:al]",28,3,1,21026,0.3333333333333333,0.03571428571428571,query_1,['GO:0070482']
GO:BP,GO:1901135,carbohydrate derivative metabolic process,0.010538433987491564,True,"""The chemical reactions and pathways involving carbohydrate derivative."" [GOC:TermGenie]",983,3,2,21026,0.6666666666666666,0.002034587995930824,query_1,['GO:0008152']
GO:BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.011830155477950908,True,"""The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation."" [ISBN:0716731363]",51,3,1,21026,0.3333333333333333,0.0196078431372549,query_1,"['GO:0019646', 'GO:0042775']"
GO:BP,GO:0019637,organophosphate metabolic process,0.012153856298549235,True,"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]",1077,3,2,21026,0.6666666666666666,0.0018570102135561746,query_1,['GO:0006793']
GO:BP,GO:0009628,response to abiotic stimulus,0.01343930290082881,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1144,3,2,21026,0.6666666666666666,0.0017482517482517483,query_1,['GO:0050896']
GO:BP,GO:0032981,mitochondrial respiratory chain complex I assembly,0.013598108271558293,True,"""The aggregation, arrangement and bonding together of a set of components to form mitochondrial respiratory chain complex I."" [GOC:rph]",63,3,1,21026,0.3333333333333333,0.015873015873015872,query_1,"['GO:0010257', 'GO:0033108']"
GO:BP,GO:0010257,NADH dehydrogenase complex assembly,0.013598108271558293,True,"""The aggregation, arrangement and bonding together of a set of components to form an NADH dehydrogenase complex."" [GOC:sm]",63,3,1,21026,0.3333333333333333,0.015873015873015872,query_1,['GO:0065003']
GO:BP,GO:0006810,transport,0.013726382732630042,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4407,3,3,21026,1.0,0.0006807351940095302,query_1,['GO:0051234']
GO:BP,GO:0051234,establishment of localization,0.018874309759150266,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4928,3,3,21026,1.0,0.0006087662337662338,query_1,['GO:0051179']
GO:BP,GO:0033108,mitochondrial respiratory chain complex assembly,0.02496752178636976,True,"""The aggregation, arrangement and bonding together of a set of components to form a mitochondrial respiratory chain complex or between respiratory chain complexes to form high-order structures."" [GOC:mah]",122,3,1,21026,0.3333333333333333,0.00819672131147541,query_1,"['GO:0007005', 'GO:0065003']"
GO:BP,GO:0051179,localization,0.026163785645429725,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5555,3,3,21026,1.0,0.00054005400540054,query_1,['GO:0008150']
GO:BP,GO:0044281,small molecule metabolic process,0.028201196660665773,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1776,3,2,21026,0.6666666666666666,0.0011261261261261261,query_1,['GO:0008152']
GO:BP,GO:0006796,phosphate-containing compound metabolic process,0.04926696477880091,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",2407,3,2,21026,0.6666666666666666,0.0008309098462816784,query_1,['GO:0006793']
GO:BP,GO:0006793,phosphorus metabolic process,0.04926696477880091,True,"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]",2410,3,2,21026,0.6666666666666666,0.0008298755186721991,query_1,['GO:0008152']
